Province/State,Population,Country
Hubei,58500000,China
unknow,51709098,Korea South
unknow,60391000,Italy
unknow,79926270,Iran
Guangdong,113460000,China
Henan,95324200,China
Zhejiang,57370000,China
Hunan,67370000,China
Anhui,62000000,China
Jiangxi,45200000,China
Shandong,100472400,China
Jiangsu,80400000,China
Chongqing,30484300,China
Sichuan,81100000,China
Heilongjiang,38312224,China
Beijing,21542000,China
Shanghai,24237800,China
unknow,126317000,Japan
Hebei,74700500,China
Fujian,38565000,China
unknow,65188000,France
unknow,83042200,Germany
Guangxi,48380000,China
Shaanxi,37327378,China
unknow,47007367,Spain
Yunnan,45966239,China
Hainan,9257600,China
Guizhou,34746468,China
Tianjin,15621200,China
Shanxi,36500000,China
Liaoning,43900000,China
unknow,5700000,Singapore
Hong Kong,7482500,Hong Kong
Jilin,27462297,China
Gansu,25575254,China
unknow,8570146,Switzerland
unknow,66435550,United Kingdom
Xinjiang,23600000,China
Ningxia,6301350,China
Inner Mongolia,24706321,China
unknow,5328212,Norway
unknow,2737000,Kuwait
unknow,1262000,Bahrain
unknow,32772100,Malaysia
Unassigned Location (From Diamond Princess),,United States
unknow,69428453,Thailand
Taiwan,23604265,Taiwan
unknow,17424978,Netherlands
unknow,40194216,Iraq
unknow,10327600,Sweden
King County WA,2233163,United States
unknow,8572895,Austria
unknow,1326093247,India
unknow,9599353,United Arab Emirates
unknow,364260,Iceland
unknow,11515793,Belgium
New South Wales,8089526,Australia
Toronto ON,2731571,Canada
Qinghai,5626722,China
unknow,33344,San Marino
unknow,95545962,Vietnam
unknow,9168750,Israel
unknow,4829473,Oman
unknow,6100075,Lebanon
British Columbia,4648055,Canada
unknow,43000000,Algeria
Omaha NE (From Diamond Princess),,United States
Queensland,5095100,Australia
Ashland NE,2588,United States
Santa Clara CA,1781642,United States
unknow,4067500,Croatia
Macau,667400,China
Westchester County NY,967612,United States
Victoria,6594804,Australia
unknow,17084358,Ecuador
unknow,5822763,Denmark
unknow,10522246,Greece
Seattle WA,3867000,United States
From Diamond Princess,,Australia
Snohomish County WA,814901,United States
unknow,10649800,Czech Republic
unknow,2338085,Qatar
Los Angeles CA,3792621,United States
unknow,5522850,Finland
unknow,9452411,Belarus
unknow,4761865,Ireland
Travis CA,,United States
Travis CA (From Diamond Princess),,United States
unknow,10276617,Portugal
unknow,123982528,Mexico
Bavaria,13076721,Germany
South Australia,1751693,Australia
unknow,207774520,Pakistan
Cook County IL,5180493,United States
unknow,20121641,Romania
unknow,210354000,Brazil
unknow,,Australia
unknow,14668522,Senegal
unknow,3729600,Georgia
unknow,100981437,Philippines
unknow,9981457,Azerbaijan
Chicago IL,2695598,United States
Ontario,13448494,Canada
Orange County CA,3010232,United States
unknow,146745098,Russia
unknow,4841000,New Zealand
Lackland TX,,United States
Illinois,12419000,United States
Lackland TX (From Diamond Princess),,United States
unknow,267670543,Indonesia
California,39512223,United States
Hillsborough FL,1436888,United States
Grafton County NH,89118,United States
unknow,1328360,Estonia
unknow,93287000,Egypt
Fulton County GA,1050114,United States
Portland OR,653115,United States
unknow,9769012,Hungary
Providence RI,178042,United States
Washington County OR,597695,United States
San Diego County CA,3095313,United States
Western Australia,2621680,Australia
Sacramento County CA,1540975,United States
None,8858775,Austria
San Mateo CA,105025,United States
Placer County CA,393149,United States
San Benito CA,61537,United States
Orange CA,136416,United States
Sonoma County CA,499942,United States
unknow,38538447,Poland
unknow,10735896,Dominican Republic
Tasmania,534281,Australia
Tempe AZ,192364,United States
None,4130000,Lebanon
unknow,200962417,Nigeria
Tibet,3180000,China
Contra Costa County CA,1049025,United States
Northern Territory,245869,Australia
Sarasota FL,426718,United States
unknow,33848242,Morocco
Chicago,2695598,United States
unknow,33091113,Saudi Arabia
unknow,20359439,Sri Lanka
Boston MA,694583,United States
Berkeley CA,112580,United States
San Antonio TX,1532233,United States
unknow,11551448,Tunisia
unknow,41922670,Ukraine
Arizona,6392017,United States
unknow,28095714,Nepal
 Montreal QC,3519595,Canada
unknow,38300,Monaco
unknow,25823071,Cote d'Ivoire
unknow,51783,Faroe Islands
unknow,17094270,Chile
London ON,383822,Canada
unknow,16926984,Cambodia
Madison WI,401661,United States
unknow,32194,Gibraltar
unknow,3046100,Armenia
unknow,44361150,Argentina
unknow,77006,Andorra
unknow,37135635,Afghanistan
Maricopa County AZ,4410824,United States
Humboldt County CA,132646,United States
New York City NY,8398748,United States
Washington,7535591,United States
unknow,10392309,Jordan
From Diamond Princess,,Israel
Wake County NC,1092305,United States
unknow,1919968,Latvia
Norfolk County MA,705388,United States
unknow,38557,Liechtenstein
unknow,2794329,Lithuania
unknow,613894,Luxembourg
Umatilla OR,77516,United States
unknow,48258494,Colombia
None,38433600,Iraq
