indent,names,kind,pop_mil,lat,lon,iana,gv_id
,world,,7713.000
    ,africa,continent,
        ,middle africa,region,
            ,angola,country,
                ,menongue,city,0.013,-14.658,17.720,SPP,0
                ,huambo,city,1.100,-12.809,15.760,NOV,1
                ,m'banza congo,city,,-6.270,14.247,SSY,2
                ,soyo,city,,-6.141,12.372,SZA,3
                ,lubango,city,0.126,-14.925,13.575,SDD,4
                ,kuito,city,,-12.405,16.947,SVP,5
                ,cabinda,city,0.092,-5.597,12.188,CAB,6
                ,luena,city,0.021,-11.768,19.898,LUO,7
                ,ondjiva,city,0.010,-17.044,15.684,VPE,8
                ,malange,city,,-9.525,16.312,MEG,9
                ,saurimo,city,0.041,-9.689,20.432,VHC,10
                ,luanda,city,5.173,-8.858,13.231,LAD,11
                ,catumbela,city,,-12.479,13.487,CBT,12
                ,namibe,city,0.133,-15.261,12.147,MSZ,13
            ,sao tome and principe,country,
                ,sao tome,city,0.088,0.378,6.712,TMS,551
            ,gabon,country,
                ,port gentil,city,0.117,-0.712,8.754,POG,646
                ,libreville,city,0.578,0.459,9.412,LBV,647
            ,cameroon,country,
                ,douala,city,1.906,4.006,9.719,DLA,805
                ,garoua,city,0.437,9.336,13.370,GOU,806
                ,yaounde,city,1.611,3.723,11.553,NSI,807
                ,ngaoundere,city,0.231,7.357,13.559,NGE,808
                ,maroua,city,0.320,10.451,14.257,MVR,809
            ,chad,country,
                ,n'djamena,city,0.989,12.134,15.034,NDJ,840
            ,"congo, dem. rep.|congo (kinshasa)",country,
                ,kisangani,city,0.578,0.482,25.338,FKI,1328
                ,bunia,city,0.097,1.566,30.221,BUX,1329
                ,gemena,city,0.198,3.235,19.771,GMA,1330
                ,kinshasa,city,7.843,-4.386,15.445,FIH,1331
                ,kongolo,city,0.105,-5.394,26.990,KOO,1332
                ,kindu,city,0.263,-2.919,25.915,KND,1333
                ,boende,city,0.032,-0.217,20.850,BNB,1334
                ,beni,city,0.333,0.575,29.474,BNC,1335
                ,lodja,city,0.068,-3.417,23.450,LJA,1336
                ,isiro,city,0.157,2.828,27.588,IRP,1337
                ,lubumbashi,city,1.352,-11.591,27.531,FBM,1338
                ,mbuji mayi,city,1.295,-6.121,23.569,MJM,1339
                ,tshikapa,city,0.267,-6.438,20.795,TSH,1340
                ,kalemie,city,0.206,-5.876,29.250,FMI,1341
                ,mbandaka,city,0.275,0.023,18.289,MDK,1342
                ,bukavu,city,0.437,-2.309,28.809,BKY,1343
                ,kananga,city,0.765,-5.900,22.469,KGA,1344
                ,goma,city,0.144,-1.671,29.239,GOM,1542
            ,"congo, rep.",country,
                ,pointe noire,city,,-4.816,11.887,PNR,1345
                ,brazzaville,city,,-4.252,15.253,BZV,1346
            ,equatorial guinea,country,
                ,malabo,city,0.156,3.755,8.709,SSG,2053
                ,bata,city,0.173,1.905,9.806,BSG,2054
            ,central african republic,country,
                ,bangui,city,0.832,4.398,18.519,BGF,2811
        ,northern africa,region,
            ,algeria,country,
                ,chlef,city,0.449,36.213,1.332,CFK,14
